COD_CURSO;NOME_CURSO;AREA_CONHECIMENTO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;TIPO_COTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Desistência;N;Ampla concorrência;M;4;1;0;2;0;0;0;7
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Desistência;S;Baixa Renda e Não PPI;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Desistência;S;Baixa Renda e Não PPI;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Desistência;S;Baixa Renda e PPI;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Desistência;S;Renda Normal e PPI;M;0;1;0;1;0;0;0;2
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Formado;N;Ampla concorrência;F;0;0;0;0;0;0;1;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Formado;N;Ampla concorrência;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Reopção de Curso;N;Ampla concorrência;M;1;0;0;1;0;0;0;2
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Reopção de Curso;S;Baixa Renda e PPI;M;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Baixa Renda e Não PPI;M;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Baixa Renda e PPI;M;0;1;0;1;0;0;0;2
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Renda Normal e Não PPI;M;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Renda Normal e PPI;M;0;0;0;1;0;0;0;1
