COD_CURSO;NOME_CURSO;AREA_CONHECIMENTO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;TIPO_COTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Reopção de Curso;S;Baixa Renda e Não PPI;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Reopção de Curso;S;Baixa Renda e Não PPI;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Reopção de Curso;S;Renda Normal e Não PPI;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Reopção de Curso;S;Renda Normal e Não PPI, acima 1,5SM/P, Deficiente;N;0;1;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;N;Ampla concorrência;F;0;0;0;2;0;0;1;3
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;N;Ampla concorrência;M;1;0;0;2;0;0;0;3
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;S;Baixa Renda e Não PPI;F;1;0;0;1;0;0;0;2
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;S;Baixa Renda e PPI;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;S;Baixa Renda e PPI;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;S;Renda Normal e Não PPI;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;S;Renda Normal e PPI;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Adaptação Curricular;S;Renda Normal e PPI;M;0;0;0;2;0;0;0;2
10 L;Física - Licenciatura;Educação;2020;1º Semestre;Desistência;N;Ampla concorrência;F;0;1;0;1;0;0;0;2
