"","COD_CURSO","NOME_CURSO","AREA_CONHECIMENTO","ANO_EVASAO","PERIODO_EVASAO","FORMA_EVASAO","COTISTA","TIPO_COTA","SEXO","QTDE","ETNIA","FORMA_EVASAO_","FORMA_EVASAO_limpa","CURSO","MODALIDADE","SEXO_","ETNIA_","COTISTA_","QTDE_FORMADO","EVASAO","QTDE_TOTAL"
"961","12 L","Matemática - Licenciatura","Educação",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Branca","Formado","Formado","Matemática","Licenciatura","Masculino","Branca","Não Cotista",1,"Formado",1
"962","12 L","Matemática - Licenciatura","Educação",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Parda","Formado","Formado","Matemática","Licenciatura","Masculino","Parda","Não Cotista",1,"Formado",1
"963","12 L","Matemática - Licenciatura","Educação",2018,"1º Semestre","Formado","Cotista","Baixa Renda e PPI","Masculino",0,"Parda","Formado","Formado","Matemática","Licenciatura","Masculino","Parda","Cotista",1,"Formado",1
"964","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",1,"Não Declarada","Desistência","Desistência","Estatística","Bacharelado","Masculino","Não Declarada","Não Cotista",0,"Evadido",1
"965","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",1,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Estatística","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",1
"966","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Masculino",1,"Parda","Desligamento: Resolução 68/2017-CEPE","Desligamento","Estatística","Bacharelado","Masculino","Parda","Não Cotista",0,"Evadido",1
"967","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Branca","Formado","Formado","Estatística","Bacharelado","Feminino","Branca","Não Cotista",1,"Formado",1
"968","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Parda","Formado","Formado","Estatística","Bacharelado","Feminino","Parda","Não Cotista",1,"Formado",1
"969","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Branca","Formado","Formado","Estatística","Bacharelado","Masculino","Branca","Não Cotista",2,"Formado",2
"970","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Parda","Formado","Formado","Estatística","Bacharelado","Masculino","Parda","Não Cotista",1,"Formado",1
"971","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Reopção de curso","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Reopção de Curso","Transferência Interna","Estatística","Bacharelado","Feminino","Parda","Não Cotista",0,"Evadido",1
"972","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Reopção de curso","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Reopção de Curso","Transferência Interna","Estatística","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",1
"973","16","Estatística","Ciências naturais, matemática e estatística",2018,"1º Semestre","Reopção de curso","Não Cotista","Ampla concorrência","Masculino",1,"Parda","Reopção de Curso","Transferência Interna","Estatística","Bacharelado","Masculino","Parda","Não Cotista",0,"Evadido",1
"974","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Feminino",1,"Branca","Desistência","Desistência","Química","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",1
"975","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Desistência","Desistência","Química","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",2
"976","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Cotista","Baixa Renda e Não PPI","Masculino",1,"Não Declarada","Desistência","Desistência","Química","Bacharelado","Masculino","Não Declarada","Cotista",0,"Evadido",1
"977","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Cotista","Renda Normal e Não PPI","Feminino",1,"Branca","Desistência","Desistência","Química","Bacharelado","Feminino","Branca","Cotista",0,"Evadido",1
"978","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Cotista","Renda Normal e PPI","Feminino",1,"Parda","Desistência","Desistência","Química","Bacharelado","Feminino","Parda","Cotista",0,"Evadido",1
"979","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desistência","Cotista","Renda Normal e PPI","Masculino",1,"Parda","Desistência","Desistência","Química","Bacharelado","Masculino","Parda","Cotista",0,"Evadido",1
"980","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",2,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Química","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",2
"981","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",2,"Preta","Desligamento: Resolução 68/2017-CEPE","Desligamento","Química","Bacharelado","Feminino","Preta","Não Cotista",0,"Evadido",2
"982","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Desligamento: Resolução 68/2017-CEPE","Desligamento","Química","Bacharelado","Feminino","Parda","Não Cotista",0,"Evadido",1
"983","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Química","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",1
"984","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Branca","Formado","Formado","Química","Bacharelado","Feminino","Branca","Não Cotista",4,"Formado",4
"985","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Masculino",0,"Parda","Formado","Formado","Química","Bacharelado","Masculino","Parda","Não Cotista",1,"Formado",1
"986","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Cotista","Baixa Renda e PPI","Feminino",0,"Preta","Formado","Formado","Química","Bacharelado","Feminino","Preta","Cotista",1,"Formado",1
"987","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Cotista","Baixa Renda e PPI","Feminino",0,"Parda","Formado","Formado","Química","Bacharelado","Feminino","Parda","Cotista",1,"Formado",1
"988","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Cotista","Renda Normal e PPI","Masculino",0,"Parda","Formado","Formado","Química","Bacharelado","Masculino","Parda","Cotista",1,"Formado",1
"989","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Formado","Cotista","Reserva","Feminino",0,"Branca","Formado","Formado","Química","Bacharelado","Feminino","Branca","Cotista",1,"Formado",1
"990","32 B","Química - Bacharelado","Ciências naturais, matemática e estatística",2018,"1º Semestre","Remanejamento SISU","Não Cotista","Ampla concorrência","Masculino",1,"Branca","Remanejamento SISU","Transferência","Química","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",1
