"COD_CURSO","NOME_CURSO","ANO_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","FORMA_INGRESSO","PERIODO_EVASAO","FORMA_EVASAO","CRA","CRN","COTISTA","NUM_VERSAO","DT_SAIDA","DT_SAIDA_1","SEXO","ETNIA","TURNO_CURSO","SEM_INGRESSO","RETENCAO_PERIODOS","RETENCAO_MESES","NOMEE_CURSO","MODALIDADE","FORMA_EVASAO_limpo","id_estudante","hash_completo"
"10 B","Física - Bacharelado",2015,"1º Semestre",2019,"Vestibular","2º Semestre","Formado",6.39,15.5635,"N","2008","30/01/2020","30/01/2020","F","Branca","Integral",1,9,54,"Física","Bacharelado","Formado",55,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2021,"Sisu","1º Semestre","Desistência",0,5,"N","2018","24/06/2021","24/06/2021","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",56,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2017,"1º Semestre",2018,"Sisu","1º Semestre","Nulidade da matrícula - ato administrativo",2.23,3.1895,"S","2008","23/04/2018","23/04/2018","F","Branca","Integral",1,2,12,"Física","Bacharelado","Outros",57,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2014,"1º Semestre",2017,"Vestibular","2º Semestre","Formado",8.7,16.6288,"N","2008","02/02/2018","02/02/2018","M","Parda","Integral",1,7,42,"Física","Bacharelado","Formado",58,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2020,"Sisu","1º Semestre","Desistência",0,25,"N","2018","03/09/2020","03/09/2020","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",59,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2017,"1º Semestre",2019,"Sisu","1º Semestre","Desistência",4.38,4.4275,"S","2008","08/01/2019","08/01/2019","F","Parda","Integral",1,4,24,"Física","Bacharelado","Desistência",60,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2021,"Sisu","2º Semestre","Desistência",4.91,4.7836,"S","2018","13/12/2021","13/12/2021","M","Branca","Integral",1,1,6,"Física","Bacharelado","Desistência",61,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2024,"Sisu","1º Semestre","Desistência",6.36,5.231,"N","2008","29/01/2024","29/01/2024","M","Branca","Integral",1,10,60,"Física","Bacharelado","Desistência",62,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2025,"1º Semestre",2025,"Sisu","1º Semestre","Desistência",0,NA,"N","2018","09/04/2025","09/04/2025","M","Branca","Integral",1,0,0,"Física","Bacharelado","Desistência",63,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2023,"Novo Curso","1º Semestre","Desligamento: Resolução 68/2017-CEPE",0,2.5332,"N","2018","31/08/2023","31/08/2023","M","Parda","Integral",1,6,36,"Física","Bacharelado","Desligamento",64,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2017,"1º Semestre",2019,"Sisu","2º Semestre","Desligamento: Resolução 68/2017-CEPE",0.54,2.6729,"S","2008","13/12/2022","13/12/2022","M","Parda","Integral",1,5,30,"Física","Bacharelado","Desligamento",65,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2014,"1º Semestre",2015,"Vestibular","2º Semestre","Desistência",0,1.7143,"N","2008","27/11/2015","27/11/2015","M","Parda","Integral",1,3,18,"Física","Bacharelado","Desistência",66,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2022,"1º Semestre",2024,"Sisu","1º Semestre","Desligamento",5.87,5.1871,"N","2018","08/11/2024","08/11/2024","M","Branca","Integral",1,4,24,"Física","Bacharelado","Desligamento",67,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2012,"1º Semestre",2016,"Vestibular","2º Semestre","Reopção de curso",3.29,4.0387,"N","2008","21/07/2016","21/07/2016","M","Branca","Integral",1,9,54,"Física","Bacharelado","Transferência",68,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2020,"Sisu","1º Semestre","Desistência",1.3,25,"N","2018","10/11/2020","10/11/2020","M","Parda","Integral",1,0,0,"Física","Bacharelado","Desistência",69,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2012,"1º Semestre",2015,"Vestibular","2º Semestre","Desligamento por Abandono",3.56,3.9067,"N","2008","05/01/2016","05/01/2016","M","Não quis declarar","Integral",1,7,42,"Física","Bacharelado","Desligamento",70,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2014,"1º Semestre",2015,"Vestibular","2º Semestre","Transferido",4.91,4.8264,"N","2008","19/10/2015","19/10/2015","M","Parda","Integral",1,3,18,"Física","Bacharelado","Transferência",71,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2016,"1º Semestre",2019,"Vestibular","2º Semestre","Desligamento: Resolução 68/2017-CEPE",0.42,2.6215,"N","2008","13/12/2022","13/12/2022","M","Parda","Integral",1,7,42,"Física","Bacharelado","Desligamento",72,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2018,"1º Semestre",2018,"Sisu","2º Semestre","Desistência",1.01,5,"N","2008","23/07/2018","23/07/2018","F","Branca","Integral",1,1,6,"Física","Bacharelado","Desistência",73,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2022,"1º Semestre",2024,"Sisu","1º Semestre","Desistência",2.93,3.7592,"S","2018","08/03/2024","08/03/2024","M","Parda","Integral",1,4,24,"Física","Bacharelado","Desistência",74,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
